"M_TYPE","M_DESCRIPTION"
"A ","Horizontal Angle"
"B ","Geodetic Azimuth"
"C ","Ellipsoid Chord"
"D ","Direction Set"
"E ","Ellipsoid Arc"
"G ","GPS Baseline"
"H ","Orthometric Height"
"I ","Astronomic Latitude"
"J ","Astronomic Longitude"
"K ","Astronomic Azimuth"
"L ","Orthometric Height Difference"
"M ","Mean Sea Level (MSL) Arc"
"P ","Geodetic Latitude"
"Q ","Geodetic Longitude"
"R ","Ellipsoid Height"
"S ","Slope Distance"
"V ","Zenith Distance"
"X ","GPS Baseline Cluster"
"Y ","GPS Point Cluster"
"Z ","Vertical Angle"
